,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
18,107/07/26,12651227,173258606,13.7,13.75,13.6,13.75,+0.10,2794
17,107/07/25,8950101,122262140,13.65,13.7,13.6,13.65,0.00,2588
16,107/07/24,17304145,234809879,13.55,13.65,13.45,13.65,+0.15,3884
15,107/07/23,12541315,169079537,13.5,13.5,13.4,13.5,0.00,3819
14,107/07/20,15256991,205277158,13.4,13.5,13.4,13.5,+0.10,3012
13,107/07/19,8418663,113193364,13.45,13.5,13.4,13.4,-0.10,2032
12,107/07/18,7844975,105489495,13.45,13.5,13.4,13.5,+0.10,2468
11,107/07/17,12898582,173465715,13.45,13.5,13.4,13.4,0.00,2514
10,107/07/16,7267691,97447937,13.4,13.45,13.35,13.4,+0.05,1985
9,107/07/13,10191720,136222860,13.4,13.45,13.3,13.35,0.00,2006
8,107/07/12,14837855,196105928,13.15,13.35,13.1,13.35,+0.15,2751
7,107/07/11,14850160,195193904,13.2,13.25,13.1,13.2,-0.05,4786
6,107/07/10,11237722,149208376,13.3,13.35,13.25,13.25,+0.10,1733
5,107/07/09,10056702,132718642,13.15,13.25,13.1,13.15,+0.10,2094
4,107/07/06,21631042,281150815,13.0,13.05,12.95,13.05,+0.05,6520
3,107/07/05,19465066,253716686,13.15,13.15,13.0,13.0,-0.10,6465
2,107/07/04,18877056,248020193,13.1,13.2,13.05,13.1,X0.00,4970
1,107/07/03,44933387,614965974,13.85,13.85,13.55,13.55,-0.30,6411
0,107/07/02,20369102,283463532,13.9,14.0,13.85,13.85,-0.05,4837
19,107/06/29,17267681,239327291,13.85,13.95,13.75,13.9,0.15,2802
18,107/06/28,14479206,199237890,13.65,13.85,13.65,13.75,0.05,4186
17,107/06/27,26328402,361331823,13.85,13.85,13.7,13.7,-0.05,5428
16,107/06/26,19554757,269295551,13.9,13.95,13.7,13.75,-0.1,4335
15,107/06/25,10268802,142963452,13.9,14.0,13.85,13.85,-0.15,2937
14,107/06/22,30017048,418253236,13.9,14.0,13.85,14.0,0.1,5433
